Unnamed: 0,U,出,W,menu,しょんぴ,Afrex,Afresh,ハコベル,pickg,7now,その他,計,Unnamed: 13,合計,frex,fresh,他,時給,Afrexh
2025/01/01,,,,,,,,,,,,,,,,,,,
2025/01/02,,,,,,,,,,,,,,,,,,,
2025/01/03,,,,,,,,,,,,,,,,,,,
2025/01/04,,,,,,,,,,,,,,,,,,,
2025/01/05,,,,2144,1980,,,,,2112,,"6,236",6236,3,,,3,"2,079",
2025/01/06,,1498,,1552,,,,,,,,"3,050",,2,,,2,"1,525",
2025/01/07,2530,3286,,6209,,,,,,,,"12,025",,10,,,10,"1,203",
2025/01/08,1754,1535,,3363,5085,,,,,,,"11,737",,10,,,10,"1,174",
2025/01/09,6595,,,,,,,,,,,"6,595",,3.5,,,3.5,"1,884",
2025/01/10,9077,,,3782,,,4092,,,,,"16,951",,9.5,,1.5,8,"1,784",
2025/01/11,9748,794,,2430,1485,,9171,,,,,"23,628",,10,,4,6,"2,363",
2025/01/12,18950,729,,1295,3465,,4158,,,,,"28,597","102,583",12,,1.5,10.5,"2,383",
2025/01/13,18191,1161,,,990,,,,,,,"20,342",,10.5,,,10.5,"1,937",
2025/01/14,13954,2079,,804,,,1637,,,,,"18,474",,11.5,,1,10.5,"1,606",
2025/01/15,7594,1940,,625,7065,,,,,,,"17,224",,9,,,9,"1,914",
2025/01/16,,,,,,,,,,,,,,,,,,,
2025/01/17,5035,,,1877,1485,,,,,,,"8,397",,3,,,3,"2,799",
2025/01/18,17424,1904,,2173,1980,,,,,,,"23,481",,11.5,,,11.5,"2,042",
2025/01/19,16617,4248,,2499,1980,,,,,,,"25,344",113262,12.5,,,12.5,"2,028",
2025/01/20,,,,,2970,,,,,,,"2,970",,0.5,,,0.5,"5,940",
2025/01/21,3794,3439,,1469,,,3855,,,,,"12,557",,6,,1.5,4.5,"2,093",
2025/01/22,752,,,,3600,,,,,,,"4,352",,1,,,1,"4,352",
2025/01/23,3012,964,,755,1980,,,,,,,"6,711",,4,,,4,"1,678",
2025/01/24,4743,2274,,2459,3600,,,,,,,"13,076",,8,,,8,"1,635",
2025/01/25,13321,1496,,,5445,,,,,,,"20,262",,10,,,10,"2,026",
2025/01/26,16040,918,,1810,7065,,2046,,,,,"27,879","87,807",10,,1.5,8.5,"2,788",
2025/01/27,12315,1551,,,5940,,2911,,,,,"22,717",,10.5,,1.5,9,"2,164",
2025/01/28,5355,1506,,755,,,2901,,,,,"10,517",,10,,1.5,8.5,"1,052",
2025/01/29,8500,750,,,7380,,,,,,,"16,630",,11,,,11,"1,512",
2025/01/30,18571,1653,,755,2000,,,,,,,"22,979",,11,,,11,"2,089",
2025/01/31,15839,2907,,2524,2000,,4681,,,,,"27,951","100,794",12.5,,2,10.5,"2,236",
合計,"229,711","36,632",0,"39,280","67,495",0,"35,452",0,0,"2,112",0,"410,682",,213,0,16,197,"1,933",
2025/10/01,,1332,,,,17387,,,,,,"18,719",,6,5.5,,0.5,"3,120",
2025/10/02,,,,,,12109,,,,,,"12,109",,4,4,,0,"3,027",
2025/10/03,,,,,,8185,,,,,,"8,185",,2,2,,0,"4,093",
2025/10/04,,,,,,13624,,,,,,"13,624",,3.5,3.5,,0,"3,893",
2025/10/05,549,711,1198,,,18403,,,,,,"20,861","73,498",6.5,5.5,,1,"3,209",
2025/10/06,,,,,,9004,,,,,,"9,004",,1.5,1.5,,0,"6,003",
2025/10/07,,,,,,18007,,,,,,"18,007",,4.5,4.5,,0,"4,002",
2025/10/08,,,,,1485,18569,,,,,,"20,054",,4,4,,0,"5,014",
2025/10/09,,,,,,,,,,,,,,,,,,,
2025/10/10,,,,,,18007,,,,,,"18,007",,2.5,2.5,,0,"7,203",
2025/10/11,581,,,,,14476,,,,,,"15,057",,2.5,2.5,,0,"6,023",
2025/10/12,,,,,,9822,,,,,,"9,822",89951,5,5,,0,"1,964",
2025/10/13,823,,,,,18403,,,,,,"19,226",,4.5,4,,0.5,"4,272",
2025/10/14,,,,,,18007,,,,,,"18,007",,7,7,,0,"2,572",
2025/10/15,2187,514,,,,19644,,,,,,"22,345",,6,5.5,,0.5,"3,724",
2025/10/16,,,,,,,,,,,,,,,,,,,
2025/10/17,,762,,,,13618,,,,,,"14,380",,3.5,3.5,,0,"4,109",
2025/10/18,3522,76,,682,,18400,,,,,,"22,680",,8,7.5,,0.5,"2,835",
2025/10/19,,,,832,,10218,,,,,,"11,050",107688,3,3,,0,"3,683",
2025/10/20,,,,,,8515,,,,,,"8,515",,2.5,2.5,,0,"3,406",
2025/10/21,,,,,,18733,,,,,,"18,733",,5,5,,0,"3,747",
2025/10/22,,,,,,18733,,,,,,"18,733",,4.5,4.5,,0,"4,163",
2025/10/23,,,,,,10218,,,,,,"10,218",,3,3,,0,"3,406",
2025/10/24,,,,,2970,8515,,,,,,"11,485",,3,1.5,,1.5,"3,828",
2025/10/25,,,,,,,,,,,,,,,,,,,
2025/10/26,9134,727,,,,10218,,,,,,"20,079","87,763",9,6,,3,"2,231",
2025/10/27,,1086,,,,20436,,,,,,"21,522",,5.5,5.5,,0,"3,913",
2025/10/28,,,,,,10218,,,,,,"10,218",,3.5,3.5,,0,"2,919",
2025/10/29,,,,,,,,,,,,,,,,,,,
2025/10/30,,,,,1485,10218,,,,,,"11,703",,3,3,,0,"3,901",
2025/10/31,2665,,,,1980,19585,,,,,,"24,230",35933,8,6.5,,1.5,"3,029",
合計,"19,461","5,208","1,198","1,514","7,920","391,272",0,0,0,0,0,"426,573",,121,112,0,9,"3,525",
2025/11/01,3826,2317,5765,2778,,,,,,,,"14,686",,3,,,3,"4,895",
2025/11/02,,782,,,,20436,,,,,,"21,218","35,904",6.5,6,,0.5,"3,264",
2025/11/03,731,,,,,9367,,,,,,"10,098",,2,1.5,,0.5,"5,049",
2025/11/04,,508,,,,20436,,,,,,"20,944",,4.5,4,,0.5,"4,654",
2025/11/05,,,,,,8515,,,,,,"8,515",,2,2,,0,"4,258",
2025/11/06,,,,,,8515,,,,,,"8,515",,2,2,,0,"4,258",
2025/11/07,3281,10293,,7652,,5375,,,,,,"26,601",,8.5,2,,6.5,"3,130",
2025/11/08,4958,,,1036,,10218,,,,,,"16,212",,4.5,3.5,,1,"3,603",
2025/11/09,1845,1671,870,1039,,18733,,,,,,"24,158","115,043",5.5,4.5,,1,"4,392",
2025/11/10,781,,,2796,,10218,,,,,,"13,795",,6,5,,1,"2,299",
2025/11/11,,,,,,10218,,,,,,"10,218",,2.5,2.5,,0,"4,087",
